Codice_articolo,Codice_variante,Costo,Data_riferimento
017.PM110.004,0,300.0,2021-10-26
017.PM110.005,1,250.0,2021-10-26
017.PM110.005,0,250.0,2021-10-26
017.PM110.006,1,250.0,2021-10-26
017.PM110.006,0,250.0,2021-10-26
017.PM110.007,1,300.0,2021-10-26
017.PM110.007,0,300.0,2021-10-26
017.PM110.008,1,300.0,2021-10-26
017.PM110.008,0,300.0,2021-10-26
017.PM115,0,500.0,2012-07-17
017.PM116.H,0,17.0,2013-06-05
017.PM117,0,1.6074,2023-08-28
017.PM117,0,3.0,2019-04-10
017.PM152,1,30.5,2023-08-28
017.PM152,2,18.0,2023-08-28
017.PM152,3,30.5,2023-08-28
017.PM152,4,18.0,2023-08-28
017.PM152,5,18.0,2023-08-28
017.PM152,6,18.0,2023-08-28
017.PM152,7,18.0,2023-08-28
017.PM152,8,30.5,2023-08-28
017.PM152,9,30.5,2023-08-28
017.PM152,10,18.0,2023-08-28
017.PM152,11,18.0,2023-08-28
017.PM152,12,18.0,2023-08-28
017.PM152,13,18.0,2023-08-28
017.PM152,14,18.0,2023-08-28
017.PM152,15,18.0,2023-08-28
017.PM152,16,18.0,2023-08-28
017.PM152,17,18.0,2023-08-28
017.PM152,18,18.0,2023-08-28
017.PM152,19,30.5,2023-08-28
017.PM152,20,30.5,2023-08-28
017.PM152,21,30.5,2023-08-28
017.PM152,22,30.5,2023-08-28
017.PM152,23,18.0,2023-08-28
017.PM152,24,30.5,2023-08-28
017.PM152,25,18.0,2023-08-28
017.PM152,26,18.0,2023-08-28
017.PM152,27,30.5,2023-08-28
017.PM152,28,30.5,2023-08-28
017.PM152,29,30.5,2023-08-28
017.PM152,30,18.0,2023-08-28
017.PM152,31,18.0,2023-08-28
017.PM152,32,18.0,2023-08-28
017.PM152,33,18.0,2023-08-28
017.PM152,34,18.0,2023-08-28
017.PM152,35,18.0,2023-08-28
017.PM152,36,18.0,2023-08-28
017.PM152,37,18.0,2023-08-28
017.PM152,38,18.0,2023-08-28
017.PM152,39,18.0,2023-08-28
017.PM152,40,18.0,2023-08-28
017.PM152,41,30.5,2023-08-28
017.PM152,42,30.5,2023-08-28
017.PM152,43,18.0,2023-08-28
017.PM152,44,30.5,2023-08-28
017.PM152,46,30.5,2023-08-28
017.PM152,47,30.5,2023-08-28
017.PM152,48,30.5,2023-08-28
017.PM152,49,18.0,2023-08-28
017.PM152,50,18.0,2023-08-28
017.PM152,51,18.0,2023-08-28
017.PM152,52,18.0,2023-08-28
017.PM152,53,18.0,2023-08-28
017.PM152,54,18.0,2023-08-28
017.PM152,55,18.0,2023-08-28
017.PM152,56,18.0,2023-08-28
017.PM152,57,18.0,2023-08-28
017.PM152,58,18.0,2023-08-28
017.PM152,59,18.0,2023-08-28
017.PM152,60,18.0,2023-08-28
017.PM152,61,18.0,2023-08-28
017.PM152,62,18.0,2023-08-28
017.PM152,63,18.0,2023-08-28
017.PM152,64,18.0,2023-08-28
017.PM152,65,18.0,2023-08-28
017.PM152,66,18.0,2023-08-28
017.PM152,67,18.0,2023-08-28
017.PM152,68,18.0,2023-08-28
017.PM152,69,18.0,2023-08-28
017.PM152,70,18.0,2023-08-28
017.PM152,71,18.0,2023-08-28
017.PM152,72,18.0,2023-08-28
017.PM152,73,18.0,2023-08-28
017.PM152,74,18.0,2023-08-28
017.PM152,75,18.0,2023-08-28
017.PM152,76,18.0,2023-08-28
017.PM152,77,18.0,2023-08-28
017.PM152,78,18.0,2023-08-28
017.PM152,79,18.0,2023-08-28
017.PM152,80,18.0,2023-08-28
017.PM152,81,18.0,2023-08-28
017.PM152,82,18.0,2023-08-28
017.PM152,83,18.0,2023-08-28
017.PM152,84,18.0,2023-08-28
017.PM152,85,18.0,2023-08-28
017.PM152,86,18.0,2023-08-28
017.PM152,87,18.0,2023-08-28
017.PM152,88,18.0,2023-08-28
017.PM152,89,18.0,2023-08-28
017.PM152,90,18.0,2023-08-28
017.PM152,91,18.0,2023-08-28
017.PM152,92,18.0,2023-08-28
017.PM152,93,18.0,2023-08-28
017.PM152,94,18.0,2023-08-28
017.PM152,95,18.0,2023-08-28
017.PM152,96,18.0,2023-08-28
017.PM152,97,18.0,2023-08-28
017.PM152,98,18.0,2023-08-28
017.PM152,99,18.0,2023-08-28
017.PM152,100,18.0,2023-08-28
017.PM152,101,18.0,2023-08-28
017.PM152,102,18.0,2023-08-28
017.PM152,103,18.0,2023-08-28
017.PM152,104,18.0,2023-08-28
017.PM152,105,18.0,2023-08-28
017.PM152,106,18.0,2023-08-28
017.PM152,107,18.0,2023-08-28
017.PM152,108,18.0,2023-08-28
017.PM152,109,18.0,2023-08-28
017.PM152,110,18.0,2023-08-28
017.PM152,111,18.0,2023-08-28
017.PM152,112,18.0,2023-08-28
017.PM152,113,18.0,2023-08-28
017.PM152,114,18.0,2023-08-28
017.PM152,115,18.0,2023-08-28
017.PM152,116,18.0,2023-08-28
017.PM152,117,18.0,2023-08-28
017.PM152,118,30.5,2023-08-28
017.PM152,119,18.0,2023-08-28
017.PM152,120,30.5,2023-08-28
017.PM152,121,18.0,2023-08-28
017.PM152,122,18.0,2023-08-28
017.PM152,123,18.0,2023-08-28
017.PM152,124,18.0,2023-08-28
017.PM152,125,18.0,2023-08-28
017.PM152,126,18.0,2023-08-28
017.PM152,127,18.0,2023-08-28
017.PM152,128,18.0,2023-08-28
017.PM152,129,18.0,2023-08-28
017.PM152,130,18.0,2023-08-28
017.PM152,131,18.0,2023-08-28
017.PM152,132,18.0,2023-08-28
017.PM152,133,18.0,2023-08-28
017.PM152,134,18.0,2023-08-28
017.PM152,135,18.0,2023-08-28
017.PM152,136,30.5,2023-08-28
017.PM152,137,18.0,2023-08-28
017.PM152,138,18.0,2023-08-28
017.PM152,139,18.0,2023-08-28
017.PM152,140,18.0,2023-08-28
017.PM152,141,18.0,2023-08-28
017.PM152,142,30.5,2023-08-28
017.PM152,143,30.5,2023-08-28
017.PM152,144,18.0,2023-08-28
017.PM152,145,18.0,2023-08-28
017.PM152,146,30.5,2023-08-28
